stationid,stationname,stationno,lat,lon,nearbusstcnt,nearbusstno,id
1815,"부개","경인선",37.488418,126.74109,19.0,"277104551,277103082,210400057,210400056,210000634,210000633,210000475,166000771,166000700,166000370,166000367,166000311,166000301,166000293,166000277,166000268,166000267,166000256,166000255",410
1813,"구일","경인선",37.496756,126.870793,5.0,"116900256,116900255,116900126,116900002,116000651",411
1811,"동인천","경인선",37.475276,126.632802,14.0,"162000137,162000136,162000135,162000134,162000039,162000037,162000034,162000025,162000020,162000019,162000016,162000014,162000013,161000517",412
1810,"제물포","경인선",37.466769,126.656666,17.0,"163000633,163000632,163000502,163000483,163000375,163000368,163000364,163000363,163000352,163000351,163000350,163000349,163000348,163000347,163000345,163000343,163000332",413
1808,"동암","경인선",37.471408,126.702896,16.0,"166000864,166000863,166000859,166000060,166000039,166000031,166000027,166000026,166000025,166000024,166000023,166000021,166000019,166000018,166000017,166000016",414
1807,"백운","경인선",37.483664,126.707704,17.0,"166000901,166000788,166000737,166000716,166000112,166000105,166000103,166000098,166000097,166000094,166000090,166000088,166000087,166000085,166000084,166000083,166000081",415
1805,"송내","경인선",37.4876,126.753664,16.0,"277102721,277101754,277101656,211000290,211000269,211000095,211000050,211000049,211000046,210000570,210000569,210000568,210000537,210000472,210000159,210000050",416
1804,"부천","경인선",37.48405,126.782686,14.0,"277102363,277102360,211000232,211000139,211000112,211000111,211000104,211000083,211000060,211000002,210000481,210000465,210000339,210000184",417
1803,"역곡","경인선",37.485178,126.811502,19.0,"211000130,211000118,211000074,211000069,210509620,210000587,210000484,210000418,210000417,210000416,210000415,210000414,210000410,210000307,210000306,210000299,210000298,210000280,210000018",418
1802,"오류동","경인선",37.494526,126.845365,7.0,"116900279,116900277,116900096,116000086,116000085,116000084,116000083",419
1801,"개봉","경인선",37.494594,126.85968,13.0,"116900281,116900240,116900239,116900127,116900107,116900097,116000610,116000609,116000455,116000454,116000143,116000010,116000009",420
1763,"수리산","안산선",37.349801,126.925365,12.0,"225508610,225508600,225508590,225508580,225000398,225000397,225000396,225000395,225000144,225000143,225000138,225000050",421
1762,"오이도","안산선",37.362357,126.738714,2.0,"224000195,224000163",422
1761,"정왕","안산선",37.351735,126.742989,6.0,"277102224,277101755,224000907,224000906,224000837,224000023",423
1760,"신길온천","안산선",37.338212,126.765844,1.0,217000667,424
1759,"안산","안산선",37.327082,126.788532,7.0,"274113442,217000628,217000626,217000301,217000219,217000174,217000021",425
1757,"고잔","안산선",37.316784,126.823144,4.0,"217000624,217000524,217000466,217000139",426
1756,"중앙","안산선",37.315941,126.838573,8.0,"277102646,277101917,217512000,217511990,217000273,217000264,217000140,217000113",427
1755,"한대앞","안산선",37.309689,126.85344,11.0,"277103607,216509580,216509570,216000722,216000698,216000114,216000079,216000038,216000037,216000034,216000033",428
1754,"상록수","안산선",37.302795,126.866489,9.0,"216000281,216000207,216000145,216000138,216000122,216000107,216000106,216000087,216000086",429
1753,"반월","안산선",37.312212,126.903524,4.0,"216000335,216000322,216000310,216000150",430
1752,"대야미","안산선",37.328467,126.917332,15.0,"225507650,225507640,225507630,225507620,225507590,225507470,225000307,225000304,225000240,225000204,225000199,225000198,225000190,225000189,225000188",431
1751,"산본","안산선",37.358101,126.933274,7.0,"225000149,225000134,225000116,225000089,225000052,225000048,225000047",432
1750,"광명","경부선",37.416182,126.884466,19.0,"213508930,213507960,213000489,213000488,213000487,213000486,213000484,213000482,213000481,213000412,213000408,213000406,213000405,213000393,213000286,213000255,213000231,213000216,213000145",433
1749,"서동탄","경부선",37.195504,127.051672,3.0,"277101822,233002343,223000315",434
1729,"당정","경부선",37.344285,126.948345,20.0,"225507940,225507800,225507790,225507760,225507750,225507730,225000441,225000440,225000436,225000331,225000317,225000315,225000313,225000312,225000310,225000234,225000161,225000074,225000066,225000008",435
1728,"천안","경부선",36.810005,127.146826,0.0,,436
1727,"두정","경부선",36.833705,127.14896,0.0,,437
1726,"직산","경부선",36.870593,127.143904,0.0,,438
1725,"성환","경부선",36.916076,127.126964,0.0,,439
1724,"평택","경부선",36.990726,127.085159,17.0,"214521160,214520920,214520910,214002013,214002012,214001507,214001436,214001352,214000839,214000813,214000641,214000638,214000630,214000628,214000596,214000595,214000356",440
1723,"지제","경부선",37.0188,127.070444,5.0,"277100341,214002102,214002018,214000622,214000604",441
1722,"서정리","경부선",37.056496,127.052819,10.0,"214001696,214001368,214001136,214000916,214000793,214000614,214000613,214000612,214000475,214000473",442
1721,"송탄","경부선",37.075696,127.054301,9.0,"214522160,214522150,214001845,214001844,214001593,214001505,214000492,214000482,214000481",443
1720,"진위","경부선",37.109447,127.062278,5.0,"214523360,214001964,214001159,214000513,214000506",444
1719,"오산","경부선",37.145885,127.06672,19.0,"277104534,277104533,277104530,223509870,223509470,223500030,223500010,223000541,223000540,223000539,223000538,223000537,223000491,223000475,223000473,223000212,223000126,223000100,223000091",445
1718,"오산대","경부선",37.168953,127.063197,8.0,"277104525,223000438,223000417,223000370,223000369,223000277,223000055,223000045",446
1717,"세마","경부선",37.187533,127.04318,13.0,"277104528,277104527,223000392,223000391,223000346,223000345,223000344,223000343,223000342,223000324,223000288,223000166,223000165",447
